graine,score_AVANCE,score_CHAMPION_DU_MONDE,vainqueur,a_commence,tours
0,283,379,CHAMPION_DU_MONDE,AVANCE,40
1,222,314,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,39
2,248,387,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,40
3,191,352,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,35
4,174,244,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,29
5,237,268,CHAMPION_DU_MONDE,AVANCE,43
6,290,397,CHAMPION_DU_MONDE,AVANCE,40
7,253,364,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,45
8,181,238,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,35
9,88,282,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,27
10,146,218,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,25
11,205,477,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,43
12,260,278,CHAMPION_DU_MONDE,AVANCE,42
13,143,275,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,37
14,231,311,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,49
15,247,217,AVANCE,AVANCE,40
16,164,202,CHAMPION_DU_MONDE,AVANCE,32
17,312,395,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,42
18,181,285,CHAMPION_DU_MONDE,AVANCE,44
19,128,183,CHAMPION_DU_MONDE,AVANCE,26
20,171,327,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,33
21,232,367,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,50
22,219,264,CHAMPION_DU_MONDE,AVANCE,50
23,118,262,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,21
24,193,343,CHAMPION_DU_MONDE,AVANCE,46
25,222,316,CHAMPION_DU_MONDE,AVANCE,37
26,177,255,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,35
27,115,227,CHAMPION_DU_MONDE,AVANCE,30
28,242,200,AVANCE,CHAMPION_DU_MONDE,34
29,236,353,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,37
30,209,254,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,38
31,295,232,AVANCE,AVANCE,46
32,245,371,CHAMPION_DU_MONDE,AVANCE,42
33,284,293,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,47
34,298,351,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,36
35,248,302,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,57
36,224,416,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,39
37,288,341,CHAMPION_DU_MONDE,AVANCE,39
38,291,378,CHAMPION_DU_MONDE,AVANCE,47
39,207,291,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,39
40,211,280,CHAMPION_DU_MONDE,AVANCE,41
41,202,268,CHAMPION_DU_MONDE,AVANCE,45
42,222,425,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,41
43,182,257,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,32
44,123,234,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,32
45,161,364,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,41
46,112,188,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,28
47,104,196,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,23
48,190,326,CHAMPION_DU_MONDE,AVANCE,48
49,247,291,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,50
50,202,407,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,43
51,186,265,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,38
52,122,144,CHAMPION_DU_MONDE,AVANCE,20
53,291,336,CHAMPION_DU_MONDE,AVANCE,52
54,144,197,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,20
55,128,347,CHAMPION_DU_MONDE,AVANCE,27
56,216,327,CHAMPION_DU_MONDE,AVANCE,40
57,224,342,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,41
58,293,278,AVANCE,AVANCE,41
59,229,297,CHAMPION_DU_MONDE,AVANCE,42
60,239,391,CHAMPION_DU_MONDE,AVANCE,47
61,212,365,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,33
62,197,151,AVANCE,AVANCE,31
63,121,177,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,18
64,242,334,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,43
65,272,375,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,41
66,212,306,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,39
67,173,196,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,26
68,152,162,CHAMPION_DU_MONDE,AVANCE,23
69,281,265,AVANCE,AVANCE,45
70,216,302,CHAMPION_DU_MONDE,AVANCE,46
71,156,286,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,38
72,321,291,AVANCE,AVANCE,43
73,257,326,CHAMPION_DU_MONDE,AVANCE,50
74,239,356,CHAMPION_DU_MONDE,AVANCE,41
75,261,313,CHAMPION_DU_MONDE,AVANCE,49
76,211,317,CHAMPION_DU_MONDE,AVANCE,42
77,307,267,AVANCE,AVANCE,43
78,153,308,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,29
79,186,417,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,33
80,135,194,CHAMPION_DU_MONDE,AVANCE,36
81,230,311,CHAMPION_DU_MONDE,AVANCE,45
82,255,319,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,44
83,261,301,CHAMPION_DU_MONDE,AVANCE,44
84,273,298,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,42
85,196,417,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,50
86,239,325,CHAMPION_DU_MONDE,AVANCE,52
87,192,311,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,40
88,240,322,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,40
89,270,330,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,52
90,260,351,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,44
91,124,224,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,28
92,260,349,CHAMPION_DU_MONDE,AVANCE,50
93,202,359,CHAMPION_DU_MONDE,AVANCE,38
94,204,238,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,35
95,199,211,CHAMPION_DU_MONDE,AVANCE,32
96,256,381,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,43
97,215,324,CHAMPION_DU_MONDE,AVANCE,39
98,121,353,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,22
99,196,314,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,36
100,233,220,AVANCE,CHAMPION_DU_MONDE,35
101,269,284,CHAMPION_DU_MONDE,AVANCE,43
102,175,247,CHAMPION_DU_MONDE,AVANCE,32
103,208,394,CHAMPION_DU_MONDE,AVANCE,40
104,223,441,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,46
105,258,353,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,47
106,206,313,CHAMPION_DU_MONDE,AVANCE,46
107,217,226,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,40
108,208,268,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,37
109,252,361,CHAMPION_DU_MONDE,AVANCE,36
110,291,395,CHAMPION_DU_MONDE,AVANCE,39
111,214,349,CHAMPION_DU_MONDE,AVANCE,41
