mot,définition(s) belge(s),origine_wallonne,existe_sens_standard
abaisser,Se baisser.,non,oui
abiye,Grouille ! Dépêche-toi ! ( note : il existe la variante abèye),non,non
académique,Universitaire. | Relatif à un retard toléré.,non,oui
accisien,"Relatif aux accises, aux impôts indirects sur certains produits de consommation. | Agent aux accises, aux impôts indirects sur certains produits de consommation.",non,non
accisienne,"Femme employée aux accises, aux impôts indirects sur certains produits de consommation.",non,oui
accroche-pied,Croche-pied.,non,non
adduire,"Guider, élever (en particulier des pigeons).",non,oui
affin,Variante de affine.,non,oui
affond,"Fait de boire un verre d’un trait, en particulier un verre de bière. | Concours estudiantin remporté par la personne qui boit son verre cul sec le plus rapidement.",non,non
affonner,Boire un verre (généralement de bière) d’une seule traite.,non,non
afonner,Boire un verre de bière cul sec (en une seule fois).,non,non
agréation,"Action d’agréer, de donner un agrément.",non,non
ainsi,Comme ça.,non,oui
ajoute,"Annexe, supplément, quelque chose que l’on rajoute après coup.",non,oui
alloux,"Dans les régions belges, les tribunaux allodiaux ont encore été actifs jusqu’au début du.  DEF à préciser",non,oui
amigo,"Prison, cachot.",non,oui
amiteux,"Affectueux, aimable, doux, caressant.",non,oui
amitieux,"Affectueux, aimable, doux, caressant. Qui fait montre d'une affection candide et naturelle. Se dit des animaux de compagnie et des jeunes enfants.",non,oui
amphi,"Amphithéâtre, dans l’enseignement supérieur. Salle de cours magistral.",non,non
américain,"Filet américain, steak tartare.",non,oui
apertintaille,"Sorte de ceinture rembourrée, faite en lin et laine rouge et jaune, munie de six à neuf clochettes de taille variées portée par les gilles de Binche. Les plus grosses clochettes se trouvent au centre.",non,non
aphoner,"Boire d’une seule traite le contenu d'un verre, d'une canette, etc.",non,non
apostille,Instruction écrite d’enquête judiciaire envoyée par le parquet ou un juge d’instruction à la police (par exemple à un apostilleur) ou à un autre service d’enquête.,non,oui
apostilleur,Policier qui traite les apostilles en provenance des parquets et des juges d’instruction.,non,oui
apostilleuse,Policière qui traite les apostilles en provenance des parquets et des juges d’instruction.,non,oui
apparitorat,Bureau chargé des affaires étudiantes dans une université.,non,non
apprentier,& Apprenti.,non,non
apprentière,& Apprentie.,non,non
approprier,"Nettoyer, rendre propre.",non,oui
apèrtintaille,Variante orthographique de apertintaille.,non,non
armeur,Personne chargée de placer des éperons de métal ou de cuir dur sur les ergots des coqs de combat.,non,oui
arsouille,Enfant espiègle.,non,oui
athénée,Établissement public d’enseignement secondaire officiel.,non,oui
