graine,score_CHAMPION_DU_MONDE[malus=-25],score_CHAMPION_DU_MONDE[malus=0],vainqueur,a_commence,tours
0,310,291,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=-25],42
1,256,237,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=0],19
2,174,341,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],25
3,394,384,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=0],49
4,387,252,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=0],44
5,307,253,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=-25],42
6,426,320,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=-25],38
7,312,205,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=0],32
8,367,290,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=0],48
9,173,256,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],33
10,343,276,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=0],39
11,251,454,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],40
12,340,304,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=-25],38
13,339,283,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=0],44
14,280,264,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=0],37
15,246,197,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=-25],27
16,211,242,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],29
17,364,366,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],45
18,275,348,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],42
19,219,114,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=-25],25
20,319,319,nul,CHAMPION_DU_MONDE[malus=0],44
21,284,280,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=0],37
22,189,240,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],30
23,285,457,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],47
24,304,286,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=-25],45
25,292,384,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],47
26,301,321,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],39
27,177,215,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],31
28,305,346,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],44
29,296,316,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],43
30,262,344,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],40
31,225,327,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],33
32,195,275,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],32
33,331,326,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=0],42
34,374,357,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=0],46
35,269,226,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=0],41
36,223,355,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],29
37,238,267,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],30
38,293,389,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],44
39,302,296,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=0],43
40,266,295,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],44
41,349,340,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=-25],46
42,335,362,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],56
43,401,351,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=0],41
44,327,305,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=0],41
45,152,274,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],33
46,261,348,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],46
47,342,292,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=0],40
48,231,297,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],42
49,98,111,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],16
50,286,281,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=0],34
51,313,351,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],41
52,302,319,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],48
53,328,244,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=-25],46
54,234,301,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],38
55,230,277,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],34
56,327,404,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],41
57,339,333,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=0],41
58,337,222,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=-25],35
59,196,191,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=-25],34
60,95,167,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],20
61,324,384,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],44
62,235,257,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],43
63,403,297,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=0],44
64,274,223,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=0],28
65,426,302,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=0],40
66,348,267,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=0],41
67,176,192,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],30
68,306,282,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=-25],43
69,166,262,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],26
70,309,236,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=-25],47
71,249,314,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],48
72,150,169,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],21
73,202,253,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],30
74,385,359,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=-25],36
75,310,400,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],51
76,304,361,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],44
77,195,240,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],30
78,353,389,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],43
79,329,282,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=0],45
80,374,256,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=-25],43
81,213,272,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],38
82,207,286,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],34
83,268,289,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],35
84,265,341,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],45
85,427,371,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=0],48
86,323,395,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],46
87,368,294,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=0],44
88,371,269,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=0],47
89,189,254,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],33
90,139,200,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],21
91,406,298,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=0],42
92,334,266,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=-25],47
93,211,139,CHAMPION_DU_MONDE[malus=-25],CHAMPION_DU_MONDE[malus=-25],20
94,166,214,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=0],20
95,170,177,CHAMPION_DU_MONDE[malus=0],CHAMPION_DU_MONDE[malus=-25],34
