graine,score_FACILE,score_DEBUTANT,vainqueur,a_commence,tours
0,225,206,FACILE,FACILE,53
1,138,165,DEBUTANT,DEBUTANT,37
2,123,134,DEBUTANT,DEBUTANT,39
3,225,232,DEBUTANT,DEBUTANT,57
4,151,150,FACILE,DEBUTANT,41
5,161,148,FACILE,FACILE,55
6,199,205,DEBUTANT,FACILE,56
7,219,136,FACILE,DEBUTANT,51
8,177,195,DEBUTANT,DEBUTANT,57
9,154,104,FACILE,DEBUTANT,43
10,288,172,FACILE,DEBUTANT,56
11,252,183,FACILE,DEBUTANT,53
12,276,204,FACILE,FACILE,63
13,128,119,FACILE,DEBUTANT,41
14,208,146,FACILE,DEBUTANT,45
15,221,175,FACILE,FACILE,47
16,189,197,DEBUTANT,FACILE,54
17,271,252,FACILE,DEBUTANT,58
18,151,142,FACILE,FACILE,44
19,81,51,FACILE,FACILE,24
20,233,170,FACILE,DEBUTANT,59
21,149,113,FACILE,DEBUTANT,51
22,172,216,DEBUTANT,FACILE,56
23,115,107,FACILE,DEBUTANT,32
24,221,98,FACILE,FACILE,52
25,36,64,DEBUTANT,FACILE,22
26,237,174,FACILE,DEBUTANT,56
27,244,223,FACILE,FACILE,61
28,219,186,FACILE,DEBUTANT,64
29,150,151,DEBUTANT,DEBUTANT,37
30,184,240,DEBUTANT,DEBUTANT,58
31,188,113,FACILE,FACILE,42
32,142,109,FACILE,FACILE,33
33,143,127,FACILE,DEBUTANT,43
34,170,158,FACILE,DEBUTANT,45
35,105,98,FACILE,DEBUTANT,31
36,197,141,FACILE,DEBUTANT,48
37,147,150,DEBUTANT,FACILE,45
38,152,72,FACILE,FACILE,27
39,94,139,DEBUTANT,DEBUTANT,41
40,148,154,DEBUTANT,FACILE,38
41,303,245,FACILE,FACILE,63
42,132,126,FACILE,DEBUTANT,37
43,131,184,DEBUTANT,DEBUTANT,43
44,119,109,FACILE,DEBUTANT,38
45,215,214,FACILE,DEBUTANT,60
46,175,176,DEBUTANT,DEBUTANT,64
47,199,215,DEBUTANT,DEBUTANT,62
48,253,192,FACILE,FACILE,58
49,122,201,DEBUTANT,DEBUTANT,51
50,192,120,FACILE,DEBUTANT,48
51,184,174,FACILE,DEBUTANT,60
52,98,124,DEBUTANT,FACILE,32
53,101,124,DEBUTANT,FACILE,37
54,319,214,FACILE,DEBUTANT,58
55,219,123,FACILE,FACILE,57
56,187,139,FACILE,FACILE,45
57,212,171,FACILE,DEBUTANT,48
58,83,48,FACILE,FACILE,18
59,251,148,FACILE,FACILE,67
60,181,226,DEBUTANT,FACILE,60
61,251,234,FACILE,DEBUTANT,55
62,229,193,FACILE,FACILE,55
63,185,169,FACILE,DEBUTANT,47
64,197,169,FACILE,DEBUTANT,49
65,179,194,DEBUTANT,DEBUTANT,48
66,83,102,DEBUTANT,DEBUTANT,31
67,288,189,FACILE,DEBUTANT,63
68,178,164,FACILE,FACILE,41
69,258,147,FACILE,FACILE,61
70,238,228,FACILE,FACILE,62
71,235,162,FACILE,DEBUTANT,59
72,262,205,FACILE,FACILE,61
73,237,155,FACILE,FACILE,63
74,199,157,FACILE,FACILE,47
75,281,133,FACILE,FACILE,59
76,158,88,FACILE,FACILE,47
77,199,159,FACILE,FACILE,59
78,134,139,DEBUTANT,DEBUTANT,45
79,154,101,FACILE,DEBUTANT,40
80,152,105,FACILE,FACILE,41
81,242,201,FACILE,FACILE,58
82,120,107,FACILE,DEBUTANT,31
83,179,153,FACILE,FACILE,47
84,279,208,FACILE,DEBUTANT,67
85,238,185,FACILE,DEBUTANT,55
86,112,146,DEBUTANT,FACILE,44
87,233,132,FACILE,DEBUTANT,54
88,232,201,FACILE,DEBUTANT,59
89,125,134,DEBUTANT,DEBUTANT,44
90,273,207,FACILE,DEBUTANT,58
91,217,234,DEBUTANT,DEBUTANT,62
92,173,180,DEBUTANT,FACILE,56
93,221,112,FACILE,FACILE,54
94,230,200,FACILE,DEBUTANT,64
95,189,195,DEBUTANT,FACILE,54
96,110,164,DEBUTANT,DEBUTANT,43
97,224,185,FACILE,FACILE,63
98,149,108,FACILE,DEBUTANT,36
99,251,228,FACILE,DEBUTANT,64
100,228,252,DEBUTANT,DEBUTANT,60
101,214,157,FACILE,FACILE,62
102,166,146,FACILE,FACILE,40
103,201,154,FACILE,FACILE,44
104,162,120,FACILE,DEBUTANT,36
105,236,181,FACILE,DEBUTANT,53
106,179,126,FACILE,FACILE,41
107,246,206,FACILE,DEBUTANT,50
108,119,133,DEBUTANT,DEBUTANT,33
109,265,188,FACILE,FACILE,59
110,251,141,FACILE,FACILE,54
111,206,189,FACILE,FACILE,64
112,308,152,FACILE,FACILE,55
113,253,202,FACILE,FACILE,67
114,215,250,DEBUTANT,DEBUTANT,62
115,174,184,DEBUTANT,FACILE,43
116,131,112,FACILE,FACILE,31
117,149,122,FACILE,DEBUTANT,38
118,183,145,FACILE,DEBUTANT,54
119,160,209,DEBUTANT,DEBUTANT,55
120,135,119,FACILE,FACILE,37
121,135,93,FACILE,DEBUTANT,34
122,321,174,FACILE,DEBUTANT,59
123,147,176,DEBUTANT,DEBUTANT,38
124,207,173,FACILE,FACILE,49
125,211,192,FACILE,FACILE,54
126,181,226,DEBUTANT,FACILE,64
127,186,135,FACILE,FACILE,46
128,194,197,DEBUTANT,FACILE,44
129,206,187,FACILE,DEBUTANT,47
130,229,181,FACILE,FACILE,56
131,313,180,FACILE,DEBUTANT,62
132,221,203,FACILE,FACILE,51
133,162,87,FACILE,DEBUTANT,39
134,132,183,DEBUTANT,DEBUTANT,39
135,193,205,DEBUTANT,DEBUTANT,57
136,139,89,FACILE,DEBUTANT,34
137,254,183,FACILE,DEBUTANT,58
138,228,196,FACILE,FACILE,53
139,132,171,DEBUTANT,DEBUTANT,46
140,251,108,FACILE,FACILE,47
141,274,162,FACILE,DEBUTANT,68
142,199,200,DEBUTANT,DEBUTANT,47
143,211,145,FACILE,DEBUTANT,38
144,342,189,FACILE,FACILE,58
145,293,175,FACILE,DEBUTANT,58
146,255,194,FACILE,FACILE,54
147,200,156,FACILE,DEBUTANT,48
148,88,77,FACILE,DEBUTANT,24
149,222,208,FACILE,DEBUTANT,62
150,114,81,FACILE,FACILE,35
151,121,81,FACILE,DEBUTANT,29
152,204,183,FACILE,DEBUTANT,54
153,359,219,FACILE,DEBUTANT,62
154,85,79,FACILE,FACILE,26
155,171,181,DEBUTANT,FACILE,46
156,150,196,DEBUTANT,DEBUTANT,41
157,174,121,FACILE,FACILE,43
158,168,233,DEBUTANT,FACILE,54
159,257,199,FACILE,DEBUTANT,59
160,115,148,DEBUTANT,FACILE,31
161,110,111,DEBUTANT,DEBUTANT,39
162,237,179,FACILE,FACILE,60
163,244,118,FACILE,DEBUTANT,57
164,101,206,DEBUTANT,FACILE,36
165,158,161,DEBUTANT,DEBUTANT,42
166,220,187,FACILE,DEBUTANT,62
167,189,101,FACILE,FACILE,46
168,226,193,FACILE,FACILE,56
169,139,186,DEBUTANT,FACILE,40
170,193,105,FACILE,DEBUTANT,40
171,180,225,DEBUTANT,FACILE,52
172,186,145,FACILE,DEBUTANT,41
173,140,124,FACILE,FACILE,40
174,184,133,FACILE,FACILE,41
175,239,180,FACILE,FACILE,50
176,146,137,FACILE,DEBUTANT,42
177,61,47,FACILE,FACILE,23
178,117,64,FACILE,FACILE,29
179,263,266,DEBUTANT,DEBUTANT,59
180,289,235,FACILE,DEBUTANT,61
181,154,117,FACILE,DEBUTANT,36
182,192,321,DEBUTANT,DEBUTANT,53
183,229,188,FACILE,DEBUTANT,62
184,278,177,FACILE,FACILE,48
185,274,214,FACILE,FACILE,68
186,82,85,DEBUTANT,FACILE,30
187,145,171,DEBUTANT,DEBUTANT,46
188,140,157,DEBUTANT,FACILE,43
189,179,112,FACILE,FACILE,45
190,162,98,FACILE,FACILE,38
191,128,118,FACILE,DEBUTANT,37
192,222,189,FACILE,FACILE,68
193,187,231,DEBUTANT,DEBUTANT,62
194,100,83,FACILE,DEBUTANT,29
195,86,79,FACILE,FACILE,33
196,77,133,DEBUTANT,DEBUTANT,32
197,248,90,FACILE,FACILE,45
198,177,94,FACILE,FACILE,42
199,155,220,DEBUTANT,FACILE,60
