graine,score_AVANCE,score_CHAMPION_DU_MONDE,vainqueur,a_commence,tours
0,185,446,CHAMPION_DU_MONDE,AVANCE,36
1,240,379,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,47
2,167,405,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,33
3,113,207,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,25
4,150,188,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,22
5,183,195,CHAMPION_DU_MONDE,AVANCE,41
6,214,376,CHAMPION_DU_MONDE,AVANCE,44
7,94,177,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,21
8,136,312,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,33
9,216,235,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,40
10,165,348,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,41
11,124,427,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,33
12,200,212,CHAMPION_DU_MONDE,AVANCE,37
13,207,371,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,37
14,194,308,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,35
15,184,295,CHAMPION_DU_MONDE,AVANCE,41
16,125,178,CHAMPION_DU_MONDE,AVANCE,30
17,105,195,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,19
18,184,280,CHAMPION_DU_MONDE,AVANCE,36
19,176,314,CHAMPION_DU_MONDE,AVANCE,36
20,185,357,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,39
21,168,266,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,43
22,139,174,CHAMPION_DU_MONDE,AVANCE,27
23,109,311,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,23
24,239,337,CHAMPION_DU_MONDE,AVANCE,46
25,318,405,CHAMPION_DU_MONDE,AVANCE,39
26,133,251,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,35
27,181,362,CHAMPION_DU_MONDE,AVANCE,36
28,92,315,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,33
29,156,295,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,43
30,172,219,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,39
31,186,328,CHAMPION_DU_MONDE,AVANCE,40
32,219,339,CHAMPION_DU_MONDE,AVANCE,51
33,138,292,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,29
34,218,433,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,46
35,187,315,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,38
36,156,360,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,34
37,136,209,CHAMPION_DU_MONDE,AVANCE,22
38,297,405,CHAMPION_DU_MONDE,AVANCE,44
39,113,198,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,24
40,184,231,CHAMPION_DU_MONDE,AVANCE,42
41,189,241,CHAMPION_DU_MONDE,AVANCE,35
42,183,320,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,42
43,144,340,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,35
44,182,413,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,50
45,147,340,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,38
46,149,306,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,37
47,231,248,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,40
48,231,391,CHAMPION_DU_MONDE,AVANCE,44
49,187,345,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,43
