graine,score_AVANCE,score_CHAMPION_DU_MONDE[vocab=intermediaire],vainqueur,a_commence,tours
0,206,207,CHAMPION_DU_MONDE[vocab=intermediaire],AVANCE,41
1,225,299,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],42
2,103,227,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],28
3,117,176,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],28
4,174,227,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],30
5,340,278,AVANCE,AVANCE,48
6,235,179,AVANCE,AVANCE,32
7,212,295,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],48
8,289,222,AVANCE,CHAMPION_DU_MONDE[vocab=intermediaire],47
9,182,126,AVANCE,CHAMPION_DU_MONDE[vocab=intermediaire],29
10,168,176,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],22
11,121,249,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],22
12,192,206,CHAMPION_DU_MONDE[vocab=intermediaire],AVANCE,35
13,68,145,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],19
14,170,285,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],31
15,211,188,AVANCE,AVANCE,37
16,229,327,CHAMPION_DU_MONDE[vocab=intermediaire],AVANCE,42
17,200,271,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],39
18,161,209,CHAMPION_DU_MONDE[vocab=intermediaire],AVANCE,37
19,92,146,CHAMPION_DU_MONDE[vocab=intermediaire],AVANCE,21
20,290,269,AVANCE,CHAMPION_DU_MONDE[vocab=intermediaire],44
21,220,229,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],43
22,114,191,CHAMPION_DU_MONDE[vocab=intermediaire],AVANCE,26
23,173,164,AVANCE,CHAMPION_DU_MONDE[vocab=intermediaire],26
24,201,199,AVANCE,AVANCE,37
25,164,336,CHAMPION_DU_MONDE[vocab=intermediaire],AVANCE,42
26,309,227,AVANCE,CHAMPION_DU_MONDE[vocab=intermediaire],40
27,164,176,CHAMPION_DU_MONDE[vocab=intermediaire],AVANCE,35
28,211,233,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],43
29,215,293,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],42
30,118,157,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],30
31,173,218,CHAMPION_DU_MONDE[vocab=intermediaire],AVANCE,35
32,182,175,AVANCE,AVANCE,38
33,244,302,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],47
34,142,216,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],36
35,239,293,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],43
36,122,227,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],36
37,175,107,AVANCE,AVANCE,26
38,278,339,CHAMPION_DU_MONDE[vocab=intermediaire],AVANCE,46
39,249,243,AVANCE,CHAMPION_DU_MONDE[vocab=intermediaire],45
40,286,188,AVANCE,AVANCE,43
41,182,139,AVANCE,AVANCE,25
42,183,233,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],38
43,257,244,AVANCE,CHAMPION_DU_MONDE[vocab=intermediaire],42
44,79,92,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],17
45,161,247,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],41
46,207,235,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],44
47,116,227,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],31
48,277,265,AVANCE,AVANCE,48
49,206,327,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],42
