graine,score_EXPERT,score_CHAMPION_DU_MONDE[vocab=intermediaire],vainqueur,a_commence,tours
0,283,211,EXPERT,EXPERT,36
1,281,280,EXPERT,CHAMPION_DU_MONDE[vocab=intermediaire],38
2,238,248,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],25
3,160,107,EXPERT,CHAMPION_DU_MONDE[vocab=intermediaire],21
4,169,172,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],26
5,336,202,EXPERT,EXPERT,47
6,321,306,EXPERT,EXPERT,46
7,181,292,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],39
8,222,153,EXPERT,CHAMPION_DU_MONDE[vocab=intermediaire],24
9,246,233,EXPERT,CHAMPION_DU_MONDE[vocab=intermediaire],36
10,272,373,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],43
11,223,206,EXPERT,CHAMPION_DU_MONDE[vocab=intermediaire],30
12,284,176,EXPERT,EXPERT,36
13,241,299,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],46
14,152,171,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],29
15,199,150,EXPERT,EXPERT,26
16,166,166,nul,EXPERT,30
17,294,240,EXPERT,CHAMPION_DU_MONDE[vocab=intermediaire],53
18,278,189,EXPERT,EXPERT,41
19,205,152,EXPERT,EXPERT,29
20,332,235,EXPERT,CHAMPION_DU_MONDE[vocab=intermediaire],39
21,159,163,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],28
22,234,214,EXPERT,EXPERT,39
23,172,174,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],25
24,113,139,CHAMPION_DU_MONDE[vocab=intermediaire],EXPERT,22
25,113,152,CHAMPION_DU_MONDE[vocab=intermediaire],EXPERT,21
26,252,234,EXPERT,CHAMPION_DU_MONDE[vocab=intermediaire],35
27,210,216,CHAMPION_DU_MONDE[vocab=intermediaire],EXPERT,37
28,362,179,EXPERT,CHAMPION_DU_MONDE[vocab=intermediaire],38
29,195,265,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],32
30,185,233,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],29
31,220,202,EXPERT,EXPERT,36
32,114,162,CHAMPION_DU_MONDE[vocab=intermediaire],EXPERT,20
33,225,359,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],45
34,437,271,EXPERT,CHAMPION_DU_MONDE[vocab=intermediaire],36
35,245,341,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],45
36,275,212,EXPERT,CHAMPION_DU_MONDE[vocab=intermediaire],35
37,145,92,EXPERT,EXPERT,23
38,231,240,CHAMPION_DU_MONDE[vocab=intermediaire],EXPERT,30
39,327,280,EXPERT,CHAMPION_DU_MONDE[vocab=intermediaire],40
40,308,174,EXPERT,EXPERT,35
41,228,107,EXPERT,EXPERT,25
42,252,170,EXPERT,CHAMPION_DU_MONDE[vocab=intermediaire],40
43,376,174,EXPERT,CHAMPION_DU_MONDE[vocab=intermediaire],32
44,240,310,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],51
45,359,216,EXPERT,CHAMPION_DU_MONDE[vocab=intermediaire],44
46,282,185,EXPERT,CHAMPION_DU_MONDE[vocab=intermediaire],32
47,243,169,EXPERT,CHAMPION_DU_MONDE[vocab=intermediaire],33
48,272,227,EXPERT,EXPERT,39
49,170,201,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],27
