graine,score_INTERMEDIAIRE,score_CHAMPION_DU_MONDE,vainqueur,a_commence,tours
0,87,204,CHAMPION_DU_MONDE,INTERMEDIAIRE,28
1,190,254,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,43
2,152,356,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,35
3,127,435,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,51
4,163,401,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,44
5,177,364,CHAMPION_DU_MONDE,INTERMEDIAIRE,41
6,132,298,CHAMPION_DU_MONDE,INTERMEDIAIRE,34
7,204,383,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,50
8,153,358,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,43
9,47,158,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,18
10,155,473,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,45
11,188,491,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,49
12,149,444,CHAMPION_DU_MONDE,INTERMEDIAIRE,46
13,105,278,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,35
14,198,299,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,47
15,95,198,CHAMPION_DU_MONDE,INTERMEDIAIRE,26
16,189,316,CHAMPION_DU_MONDE,INTERMEDIAIRE,42
17,217,353,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,45
18,99,252,CHAMPION_DU_MONDE,INTERMEDIAIRE,33
19,210,298,CHAMPION_DU_MONDE,INTERMEDIAIRE,40
20,127,382,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,47
21,196,291,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,49
22,133,308,CHAMPION_DU_MONDE,INTERMEDIAIRE,34
23,169,368,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,42
24,270,352,CHAMPION_DU_MONDE,INTERMEDIAIRE,41
25,64,182,CHAMPION_DU_MONDE,INTERMEDIAIRE,21
26,137,357,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,42
27,167,403,CHAMPION_DU_MONDE,INTERMEDIAIRE,40
28,187,344,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,43
29,193,390,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,47
30,114,187,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,26
31,171,311,CHAMPION_DU_MONDE,INTERMEDIAIRE,35
32,169,351,CHAMPION_DU_MONDE,INTERMEDIAIRE,44
33,105,262,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,29
34,177,475,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,41
35,238,357,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,44
36,178,430,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,47
37,86,204,CHAMPION_DU_MONDE,INTERMEDIAIRE,20
38,224,456,CHAMPION_DU_MONDE,INTERMEDIAIRE,52
39,158,306,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,46
40,121,293,CHAMPION_DU_MONDE,INTERMEDIAIRE,47
41,142,261,CHAMPION_DU_MONDE,INTERMEDIAIRE,36
42,213,366,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,46
43,205,471,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,41
44,81,211,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,25
45,54,293,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,31
46,122,300,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,41
47,244,359,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,48
48,173,297,CHAMPION_DU_MONDE,INTERMEDIAIRE,41
49,138,261,CHAMPION_DU_MONDE,CHAMPION_DU_MONDE,41
