graine,score_INTERMEDIAIRE,score_CHAMPION_DU_MONDE[vocab=intermediaire],vainqueur,a_commence,tours
0,170,305,CHAMPION_DU_MONDE[vocab=intermediaire],INTERMEDIAIRE,45
1,204,228,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],42
2,180,263,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],36
3,94,193,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],27
4,116,215,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],21
5,156,239,CHAMPION_DU_MONDE[vocab=intermediaire],INTERMEDIAIRE,36
6,129,253,CHAMPION_DU_MONDE[vocab=intermediaire],INTERMEDIAIRE,29
7,151,206,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],30
8,206,294,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],49
9,153,199,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],30
10,159,228,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],37
11,139,169,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],27
12,209,293,CHAMPION_DU_MONDE[vocab=intermediaire],INTERMEDIAIRE,45
13,97,156,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],29
14,193,177,INTERMEDIAIRE,CHAMPION_DU_MONDE[vocab=intermediaire],44
15,208,263,CHAMPION_DU_MONDE[vocab=intermediaire],INTERMEDIAIRE,42
16,163,216,CHAMPION_DU_MONDE[vocab=intermediaire],INTERMEDIAIRE,38
17,124,307,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],53
18,139,186,CHAMPION_DU_MONDE[vocab=intermediaire],INTERMEDIAIRE,36
19,195,241,CHAMPION_DU_MONDE[vocab=intermediaire],INTERMEDIAIRE,44
20,108,221,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],35
21,213,269,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],52
22,105,185,CHAMPION_DU_MONDE[vocab=intermediaire],INTERMEDIAIRE,32
23,124,221,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],31
24,264,309,CHAMPION_DU_MONDE[vocab=intermediaire],INTERMEDIAIRE,47
25,154,184,CHAMPION_DU_MONDE[vocab=intermediaire],INTERMEDIAIRE,41
26,102,223,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],31
27,136,263,CHAMPION_DU_MONDE[vocab=intermediaire],INTERMEDIAIRE,35
28,90,146,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],25
29,128,351,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],32
30,146,221,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],34
31,175,256,CHAMPION_DU_MONDE[vocab=intermediaire],INTERMEDIAIRE,55
32,105,255,CHAMPION_DU_MONDE[vocab=intermediaire],INTERMEDIAIRE,28
33,147,150,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],37
34,109,177,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],26
35,133,173,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],32
36,227,411,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],45
37,66,118,CHAMPION_DU_MONDE[vocab=intermediaire],INTERMEDIAIRE,20
38,166,292,CHAMPION_DU_MONDE[vocab=intermediaire],INTERMEDIAIRE,31
39,71,185,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],25
40,178,201,CHAMPION_DU_MONDE[vocab=intermediaire],INTERMEDIAIRE,53
41,144,127,INTERMEDIAIRE,INTERMEDIAIRE,23
42,218,213,INTERMEDIAIRE,CHAMPION_DU_MONDE[vocab=intermediaire],54
43,111,219,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],37
44,75,110,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],20
45,183,288,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],45
46,129,201,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],40
47,112,218,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],36
48,174,201,CHAMPION_DU_MONDE[vocab=intermediaire],INTERMEDIAIRE,35
49,79,178,CHAMPION_DU_MONDE[vocab=intermediaire],CHAMPION_DU_MONDE[vocab=intermediaire],32
